nom_communes, code_wilayas
Stah Guentis,12
Tebessa,12
Telidjen,12
Ain Fettah,13
Ain Fezza,13
Ain Ghoraba,13
Ain Kebira,13
Ain Nehala,13
Ain Tallout,13
Ain Youcef,13
Amieur,13
Azails,13
Bab El Assa,13
Beni Bahdel,13
Beni Boussaid,13
Beni Khaled,13
Beni Mester,13
Beni Ouarsous,13
Beni Smiel,13
Beni Snous,13
Bensekrane,13
Bouhlou,13
Bouihi,13
Chetouane,13
Dar Yaghmouracene,13
Djebala,13
El Aricha,13
El Fehoul,13
El Gor,13
Fellaoucene,13
Ghazaouet,13
Hammam Boughrara,13
Hennaya,13
Honaine,13
Maghnia,13
Mansourah,13
Marsa Ben M'hidi,13
Msirda Fouaga,13
Nedroma,13
Oued Chouly,13
Ouled Mimoun,13
Ouled Riyah,13
Remchi,13
Sabra,13
Sebbaa Chioukh,13
Sebdou,13
Sidi Abdelli,13
Sidi Djilali,13
Sidi Medjahed,13
Souahlia,13
Souani,13
Souk Tleta,13
Terny Beni Hediel,13
Tianet,13
Tlemcen,13
Zenata,13
Ain Bouchekif,14
Ain Deheb,14
Ain El Hadid,14
Ain Kermes,14
Ain Zarit,14
Bougara,14
Chehaima,14
Dahmouni,14
Djebilet Rosfa,14
Djillali Ben Amar,14
Faidja,14
Frenda,14
Guertoufa,14
Hamadia,14
Ksar Chellala,14
Madna,14
Mahdia,14
Mechraa Safa,14
Medrissa,14
Medroussa,14
Meghila,14
Mellakou,14
Nadorah,14
Naima,14
Oued Lilli,14
Rahouia,14
Rechaiga,14
Sebaine,14
Sebt,14
Serghine,14
Si Abdelghani,14
Sidi Abderrahmane,14
Sidi Ali Mellal,14
Sidi Bakhti,14
Sidi Hosni,14
Sougueur,14
Tagdemt,14
Takhemaret,14
Tiaret,14
Tidda,14
Tousnina,14
Zmalet El Emir Abdelkade,14
Abi Youcef,15
Aghribs,15
Agouni Gueghrane,15
Ain El Hammam,15
Ain Zaouia,15
Ait Aggouacha,15
Ait Bouaddou,15
Ait Boumehdi,15
Ait Chafaa,15
Ait Khellili,15
Ait Mahmoud,15
Ait Oumalou,15
Ait Toudert,15
Ait Yahia,15
Ait Yahia Moussa,15
Akbil,15
Akerrou,15
Assi Youcef,15
Azazga,15
Azeffoun,15
Beni Aissi,15
Beni Douala,15
Beni Yenni,15
Beni Zikki,15
Beni Zmenzer,15
Boghni,15
Boudjima,15
Bounouh,15
Bouzeguene,15
Djebel Aissa Mimoun,15
Draa Ben Khedda,15
Draa El Mizan,15
Freha,15
Frikat,15
Iboudrarene,15
Idjeur,15
Iferhounene,15
Ifigha,15
Iflissen,15
Illilten,15
Illoula Oumalou,15
Imsouhal,15
Irdjen,15
Larba Nath Irathen,15
Larbaa Nath Irathen,15
M'kira,15
Maatkas,15
Makouda,15
Mechtras,15
Mekla,15
Mizrana,15
Ouacif,15
Ouadhias,15
Ouaguenoune,15
Sidi Naamane,15
Souamaa,15
Souk El Thenine,15
Tadmait,15
Tigzirt,15
Timizart,15
Tirmitine,15
Tizi Ghenif,15
Tizi N'tleta,15
Tizi Ouzou,15
Tizi Rached,15
Yakourene,15
Yatafene,15
Zekri,15
Ain Benian,16
Ain Taya,16
Alger Centre,16
Bab El Oued,16
Bab Ezzouar,16
Baba Hesen,16
Bachedjerah,16
Bains Romains,16
Baraki,16
Ben Aknoun,16
Beni Messous,16
Bir Mourad Rais,16
Bir Touta,16
Birkhadem,16
Bologhine Ibnou Ziri,16
Bordj El Bahri,16
Bordj El Kiffan,16
Bourouba,16
Bouzareah,16
Casbah,16
Cheraga,16
Dar El Beida,16
Dely Ibrahim,16
Djasr Kasentina,16
Douira,16
Draria,16
El Achour,16
El Biar,16
El Harrach,16
El Madania,16
El Magharia,16
El Merssa,16
El Mouradia,16
Herraoua,16
Hussein Dey,16
Hydra,16
Kheraisia,16
Kouba,16
Les Eucalyptus,16
Maalma,16
Mohamed Belouzdad,16
Mohammadia,16
Oued Koriche,16
Oued Smar,16
Ouled Chebel,16
Ouled Fayet,16
Rahmania,16
Rais Hamidou,16
Reghaia,16
Rouiba,16
Sehaoula,16
Setaouali,16
Sidi M'hamed,16
Sidi Moussa,16
Souidania,16
Tessala El Merdja,16
Zeralda,16
Ain Chouhada,17
Ain El Ibel,17
Ain Fekka,17
Ain Maabed,17
Ain Oussera,17
Amourah,17
Benhar,17
Benyagoub,17
Birine,17
Bouira Lahdab,17
Charef,17
Dar Chioukh,17
Deldoul,17
Djelfa,17
Douis,17
El Guedid,17
El Idrissia,17
El Khemis,17
Faidh El Botma,17
Guernini,17
Guettara,17
Had Sahary,17
Hassi Bahbah,17
Hassi El Euch,17
Hassi Fedoul,17
M Liliha,17
Messaad,17
Moudjebara,17
Oum Laadham,17
Sed Rahal,17
Selmana,17
Sidi Baizid,17
Sidi Ladjel,17
Tadmit,17
Zaafrane,17
Zaccar,17
Bordj Tahar,18
Boudria Beniyadjis,18
Bouraoui Belhadef,18
Boussif Ouled Askeur,18
Chahna,18
Chekfa,18
Djemaa Beni Habibi,18
Djimla,18
El Ancer,18
El Aouana,18
El Kennar Nouchfi,18
El Milia,18
Emir Abdelkader,18
Erraguene,18
Ghebala,18
Jijel,18
Khiri Oued Adjoul,18
Kouas,18
Oudjana,18
Ouled Rabah,18
Ouled Yahia Khadrouch,18
Selma Benziada,18
Settara,18
Sidi Abdelaziz,18
Sidi Marouf,18
Taher,18
Texena,18
Ziama Mansouria,18
Ain Abessa,19
Ain Arnat,19
Ain Azel,19
Ain El Kebira,19
Ain Lahdjar,19
Ain Legradj,19
Ain Oulmane,19
Ain Roua,19
Ain Sebt,19
Ait Naoual Mezada,19
Ait Tizi,19
Amoucha,19
Babor,19
Bazer Sakra,19
Beidha Bordj,19
Bellaa,19
Beni Aziz,19
Beni Chebana,19
Beni Fouda,19
Beni Mouhli,19
Beni Ouartilane,19
Beni Oussine,19
Bir El Arch,19
Bir Haddada,19
Bouandas,19
Bougaa,19
Bousselam,19
Boutaleb,19
Dehamcha,19
Djemila,19
Draa Kebila,19
El Eulma,19
El Ouldja,19
El Ouricia,19
Guellal,19
Guelta Zerka,19
Guenzet,19
Guidjel,19
Hamam Soukhna,19
Hamma,19
Hammam Guergour,19
Harbil,19
Ksar El Abtal,19
Maaouia,19
Maouaklane,19
Mezloug,19
Oued El Barad,19
Ouled Addouane,19
Ouled Sabor,19
Ouled Si Ahmed,19
Ouled Tebben,19
Rosfa,19
Salah Bey,19
Serdj El Ghoul,19
Setif,19
Tachouda,19
Tala Ifacene,19
Taya,19
Tella,19
Tizi N'bechar,19
Ain El Hadjar,20
Ain Sekhouna,20
Ain Soltane,20
Doui Thabet,20
El Hassasna,20
Hounet,20
Maamora,20
Moulay Larbi,20
Ouled Brahim,20
Ouled Khaled,20
Saida,20
Sidi Ahmed,20
Sidi Amar,20
Sidi Boubekeur,20
Tircine,20
Youb,20
Ain Bouziane,21
Ain Charchar,21
Ain Kechera,21
Ain Zouit,21
Azzaba,21
Bekkouche Lakhdar,21
Ben Azzouz,21
Beni Bechir,21
Beni Oulbane,21
Beni Zid,21
Bin El Ouiden,21
Bouchetata,21
Cheraia,21
Collo,21
Djendel Saadi Mohamed,21
El Arrouch,21
El Ghedir,21
El Hadaiek,21
El Marsa,21
Emjez Edchich,21
Es Sebt,21
Filfila,21
Hamadi Krouma,21
Kanoua,21
Kerkera,21
Khenag Mayoum,21
Oued Zhour,21
Ouldja Boulbalout,21
Ouled Attia,21
Ouled Habbeba,21
Oum Toub,21
Ramdane Djamel,21
Salah Bouchaour,21
Sidi Mezghiche,21
Skikda,21
Tamalous,21
Zerdezas,21
Zitouna,21
Ain Adden,22
Ain El Berd,22
Ain Kada,22
Ain Thrid,22
Ain Tindamine,22
Amarnas,22
Badredine El Mokrani,22
Belarbi,22
Ben Badis,22
Benachiba Chelia,22
Bir El Hammam,22
Boudjebaa El Bordj,22
Boukhanafis,22
Chetouane Belaila,22
Dhaya,22
El Hacaiba,22
Hassi Dahou,22
Hassi Zahana,22
Lamtar,22
M'cid,22
Makedra,22
Marhoum,22
Merine,22
Mezaourou,22
Mostefa Ben Brahim,22
Moulay Slissen,22
Oued Sebaa,22
Oued Sefioun,22
Oued Taourira,22
Ras El Ma,22
Redjem Demouche,22
Sehala Thaoura,22
Sfissef,22
Sidi Ali Benyoub,22
Sidi Ali Boussidi,22
Sidi Bel Abbes,22
Sidi Brahim,22
Sidi Chaib,22
Sidi Dahou Zairs,22
Sidi Hamadouche,22
Sidi Khaled,22
Sidi Lahcene,22
Sidi Yacoub,22
Tabia,22
Tafissour,22
Taoudmout,22
Teghalimet,22
Telagh,22
Tenira,22
Tessala,22
Tilmouni,22
Zerouala,22
Ain Berda,23
Annaba,23
Berrahel,23
Chetaibi,23
Cheurfa,23
El Bouni,23
El Hadjar,23
Eulma,23
Oued El Aneb,23
Seraidi,23
Sidi Amar,23
Treat,23
Ain Ben Beida,24
Ain Hessania,24
Ain Larbi,24
Ain Makhlouf,24
Ain Reggada,24
Belkheir,24
Ben Djarah,24
Beni Mezline,24
Bordj Sabat,24
Bou Hachana,24
Bou Hamdane,24
Bouati Mahmoud,24
Bouchegouf,24
Bouhamra Ahmed,24
Dahouara,24
Djeballah Khemissi,24
El Fedjoudj,24
Guelaat Bou Sbaa,24
Guelma,24
Hamam Debagh,24
Hammam N'bail,24
Heliopolis,24
Khezara,24
Medjez Amar,24
Medjez Sfa,24
Nechmaya,24
Oued Cheham,24
Oued Fragha,24
Oued Zenati,24
Ras El Agba,24
Roknia,24
Sellaoua Announa,24
Sidi Sandel,24
Tamlouka,24
Ain Abid,25
Ain Smara,25
Ben Badis,25
Beni Hamidene,25
Constantine,25
Didouche Mourad,25
El Khroub,25
Hamma Bouziane,25
Ibn Ziad,25
Messaoud Boujeriou,25
Ouled Rahmouni,25
Zighoud Youcef,25
Ain Boucif,26
Ain Ouksir,26
Aissaouia,26
Aziz,26
Baata,26
Ben Chicao,26
Beni Slimane,26
Berrouaghia,26
Bir Ben Laabed,26
Boghar,26
Bouaiche,26
Bouaichoune,26
Bouchrahil,26
Boughzoul,26
Bouskene,26
Chabounia,26
Chelalet El Adhaoura,26
Cheniguel,26
Damiat,26
Derrag,26
Deux Bassins,26
Djouab,26
Draa Essamar,26
El Azizia,26
El Guelbelkebir,26
El Hamdania,26
El Omaria,26
El Ouinet,26
Hannacha,26
Kef Lakhdar,26
Khams Djouamaa,26
Ksar El Boukhari,26
Maghraoua,26
Medea,26
Medjebar,26
Meftaha,26
Mezerana,26
Mihoub,26
Ouamri,26
Oued Harbil,26
Ouled Antar,26
Ouled Bouachra,26
Ouled Brahim,26
Ouled Deid,26
Ouled Hellal,26
Ouled Maaref,26
Oum El Djellil,26
Ouzera,26
Rebaia,26
Saneg,26
Sedraya,26
Seghouane,26
Si Mahdjoub,26
Sidi Demed,26
Sidi Naamane,26
Sidi Rabie,26
Sidi Zahar,26
Sidi Ziane,26
Souagui,26
Tablat,26
Tafraout,26
Tamesguida,26
Tletat Ed Douair,26
Zoubiria,26
Achaacha,27
Ain Boudinar,27
Ain Nouissy,27
Ain Sidi Cherif,27
Ain Tedles,27
Benabdelmalek Ramdane,27
Bouguirat,27
Fornaka,27
Hadjadj,27
Hassi Mameche,27
Hassiane,27
Khadra,27
Kheir Eddine,27
Mansourah,27
Mazagran,27
Mesra,27
Mostaganem,27
Nekmaria,27
Oued El Kheir,27
Ouled Boughalem,27
Ouled Maalah,27
Safsaf,27
Sayada,27
Sidi Ali,27
Sidi Belaattar,27
Sidi Lakhdar,27
Sirat,27
Souaflia,27
Sour,27
Stidia,27
Tazgait,27
Touahria,27
Ain El Hadjel,28
Ain El Melh,28
Ain Fares,28
Ain Khadra,28
Ain Rich,28
Belaiba,28
Ben Srour,28
Beni Ilmane,28
Benzouh,28
Berhoum,28
Bir Foda,28
Bou Saada,28
Bouti Sayeh,28
Chellal,28
Dehahna,28
Djebel Messaad,28
El Hamel,28
El Houamed,28
Hammam Dalaa,28
Khettouti Sed El Jir,28
Khoubana,28
M'cif,28
M'sila,28
M'tarfa,28
Maadid,28
Maarif,28
Magra,28
Medjedel,28
Menaa,28
Mohamed Boudiaf,28
Ouanougha,28
Ouled Addi Guebala,28
Ouled Derradj,28
Ouled Madhi,28
Ouled Mansour,28
Ouled Sidi Brahim,28
Ouled Slimane,28
Oulteme,28
Sidi Aissa,28
Sidi Ameur,28
Sidi Hadjeres,28
Sidi M'hamed,28
Slim,28
Souamaa,28
Tamsa,28
Tarmount,28
Zarzour,28
Ain Fares,29
Ain Fekan,29
Ain Ferah,29
Ain Frass,29
Alaimia,29
Aouf,29
Benian,29
Bou Henni,29
